transaction_id,account_id,currency,transaction_type,amount,transaction_ts,reject_reasons
7,999,RUB,purchase,361.37,2025-04-06 19:52:52,['ACCOUNT_NOT_FOUND']
24,7,RUB,transfer,-4312.86,2025-06-28 21:29:41,['INVALID_AMOUNT']
28,10,RUB,transfer,-5617.17,2025-06-14 19:07:54,['INVALID_AMOUNT']
41,999,EUR,purchase,1356.28,2025-07-03 16:15:45,['ACCOUNT_NOT_FOUND']
61,8,USD,purchase,-8441.77,2025-08-02 05:19:12,['INVALID_AMOUNT']
63,10,RUB,purchase,-4342.32,2025-08-10 17:11:38,['INVALID_AMOUNT']
75,999,EUR,transfer,6098.83,2025-09-03 16:44:08,['ACCOUNT_NOT_FOUND']
82,999,EUR,purchase,9516.03,2025-05-28 19:52:52,['ACCOUNT_NOT_FOUND']
88,999,USD,withdrawal,-697.26,2025-04-13 11:27:05,"['INVALID_AMOUNT', 'ACCOUNT_NOT_FOUND']"
89,999,EUR,transfer,1150.41,2025-06-10 14:37:24,['ACCOUNT_NOT_FOUND']
91,999,EUR,purchase,1497.06,2025-05-30 19:26:41,['ACCOUNT_NOT_FOUND']
