transaction_id,account_id,currency,transaction_type,amount,transaction_ts
1,12,EUR,purchase,3993.6,2025-07-08 15:36:26
2,2,RUB,withdrawal,1377.65,2025-05-24 20:28:50
3,10,RUB,purchase,1983.35,2025-06-02 01:04:32
4,7,RUB,withdrawal,4226.97,2025-04-19 15:32:01
5,5,EUR,transfer,2666.06,2025-04-13 22:24:17
6,5,EUR,withdrawal,6693.79,2025-06-28 01:03:03
7,999,RUB,purchase,361.37,2025-04-06 19:52:52
8,3,USD,withdrawal,1745.86,2025-05-26 08:02:34
9,2,RUB,transfer,5556.82,2025-05-28 14:05:53
10,12,EUR,transfer,399.13,2025-05-23 11:31:49
11,4,EUR,purchase,8386.12,2025-05-06 10:57:11
12,3,USD,purchase,7660.45,2025-07-09 10:30:55
13,7,RUB,withdrawal,6992.98,2025-05-15 02:27:43
14,5,EUR,transfer,8520.11,2025-05-05 16:06:33
15,1,RUB,withdrawal,1524.74,2025-03-29 10:18:03
16,10,RUB,transfer,6260.57,2025-05-13 23:40:30
17,3,USD,withdrawal,1967.28,2025-04-02 10:52:54
18,11,USD,purchase,6741.54,2025-05-13 00:47:56
19,1,RUB,purchase,1571.71,2025-01-19 12:37:09
20,4,EUR,purchase,7793.02,2025-03-29 11:05:36
21,2,RUB,transfer,5355.93,2025-05-10 12:54:31
22,7,RUB,purchase,8510.32,2025-03-28 04:05:30
23,3,USD,withdrawal,3802.0,2025-06-17 13:31:08
24,7,RUB,transfer,-4312.86,2025-06-28 21:29:41
25,9,EUR,withdrawal,5045.1,2025-05-22 14:42:51
26,11,USD,transfer,7010.41,2025-08-23 12:24:26
27,7,RUB,transfer,1121.48,2025-05-09 09:47:01
28,10,RUB,transfer,-5617.17,2025-06-14 19:07:54
29,3,USD,purchase,4639.42,2025-04-13 19:34:43
30,9,EUR,transfer,7198.81,2025-05-26 20:53:17
31,2,RUB,withdrawal,6926.27,2025-05-03 08:58:43
32,2,RUB,withdrawal,5460.28,2025-06-14 23:07:22
33,3,USD,withdrawal,2141.8,2025-03-31 08:04:24
34,2,RUB,purchase,3604.53,2025-05-09 21:14:10
35,10,RUB,transfer,1147.97,2025-07-27 02:45:13
36,12,EUR,purchase,4154.47,2025-06-11 18:34:42
37,2,RUB,withdrawal,3733.27,2025-05-10 04:31:12
38,7,RUB,transfer,5359.95,2025-05-21 22:41:05
39,6,EUR,withdrawal,6252.79,2025-06-02 01:04:02
40,4,EUR,transfer,1303.88,2025-07-03 09:58:27
